week_number,month,province,product_name,category,avg_temperature_level,rainfall_level,tourism_level,payday_week,holiday_type,festival_season,school_season,urbanization_level,avg_income_level,demand_score,estimated_units_sold
8,February,Eastern,Milo,Dairy,Medium,High,Medium,Yes,Poya,Yes,Yes,Low,Low,303.57,242
32,August,Northern,Milo,Dairy,High,Low,Low,Yes,Poya,Yes,Yes,Low,Low,350.86,305
39,September,Uva,Anchor Milk Powder,Dairy,Low,Low,Medium,No,None,No,Yes,Low,Low,207.19,176
37,September,North Western,Sunflower Oil,Cooking Essentials,Medium,Low,Low,No,None,No,No,Medium,Medium,319.49,332
4,January,North Western,Wheat Flour,Cooking Essentials,Low,High,Medium,Yes,Poya,Yes,Yes,Medium,Medium,421.0,392
13,March,North Western,Frozen Fish,Frozen Foods,High,High,Medium,No,None,No,No,Medium,Medium,572.56,400
38,September,Sabaragamuwa,Milo,Dairy,Low,Low,Medium,Yes,None,No,Yes,Low,Low,459.25,445
46,November,Western,Milo,Dairy,Low,Medium,High,Yes,None,No,Yes,High,High,725.94,759
16,April,Southern,Sunflower Oil,Cooking Essentials,High,Medium,High,Yes,Poya,Yes,No,Medium,Medium,573.31,861
39,September,Sabaragamuwa,Frozen Fish,Frozen Foods,Low,Low,Low,No,None,No,Yes,Low,Low,299.17,182
20,May,Sabaragamuwa,Lantern Materials,Household,High,Low,Low,Yes,Poya,Yes,Yes,Low,Low,349.76,355
11,March,Central,Lantern Materials,Household,Medium,High,High,No,Eid,Yes,Yes,Medium,Medium,446.29,455
16,April,Central,Rice Flour,Cooking Essentials,Medium,High,Medium,Yes,Poya,Yes,No,Medium,Medium,410.23,528
46,November,Uva,Necto,Beverages,Low,Medium,Medium,Yes,None,No,Yes,Low,Low,376.76,867
19,May,Uva,Lion Beer,Alcohol,Medium,Medium,Low,No,Vesak,Yes,Yes,Low,Low,350.25,232
30,July,Eastern,Sunflower Oil,Cooking Essentials,High,Low,Medium,Yes,None,No,Yes,Low,Low,353.54,327
26,June,Northern,Pepsi,Beverages,High,Low,Low,Yes,None,No,Yes,Low,Low,683.93,1359
45,November,North Western,Frozen Fish,Frozen Foods,Low,Low,Low,No,None,No,Yes,Medium,Medium,411.78,269
31,July,Sabaragamuwa,Necto,Beverages,Medium,Low,Low,No,None,No,Yes,Low,Low,493.98,1117
50,December,Central,Lion Beer,Alcohol,Low,High,High,Yes,None,No,No,Medium,Medium,638.77,472
50,December,Northern,Canned Fish,Canned Goods,Low,Medium,Medium,Yes,None,No,No,Low,Low,366.83,438
17,April,Western,Ritzbury Chocolate,Snacks,High,Medium,Medium,No,None,No,No,High,High,719.93,1677
18,April,North Central,Frozen Fish,Frozen Foods,High,Low,Low,Yes,Vesak,Yes,Yes,Low,Low,773.61,554
44,October,North Central,Wheat Flour,Cooking Essentials,Low,Low,Low,Yes,Deepavali,Yes,Yes,Low,Low,290.07,409
44,October,Eastern,Arrack,Alcohol,Low,Medium,Low,Yes,Deepavali,Yes,Yes,Low,Low,423.55,280
17,April,North Western,Arrack,Alcohol,High,High,Medium,No,None,No,No,Medium,Medium,378.23,208
25,June,Southern,Candles,Household,High,Low,High,No,None,No,Yes,Medium,Medium,432.53,467
27,July,Uva,Canned Fish,Canned Goods,Medium,Low,Low,No,None,No,Yes,Low,Low,216.33,303
47,November,North Western,Canned Fish,Canned Goods,Low,Medium,Low,No,None,No,Yes,Medium,Medium,543.95,904
37,September,Sabaragamuwa,Anchor Milk Powder,Dairy,Medium,Low,Low,No,None,No,No,Low,Low,241.57,270
45,November,North Western,Elephant Ginger Beer,Beverages,Low,Low,Low,No,None,No,Yes,Medium,Medium,712.18,1356
47,November,North Central,Tea Leaves,Beverages,Low,Medium,Low,No,None,No,Yes,Low,Low,320.42,652
2,January,Eastern,Canned Fish,Canned Goods,Medium,High,Low,Yes,None,No,Yes,Low,Low,246.79,292
48,November,Western,Necto,Beverages,Low,Medium,Medium,Yes,Poya,Yes,Yes,High,High,924.27,1694
20,May,North Western,Lantern Materials,Household,High,Medium,Low,Yes,Poya,Yes,Yes,Medium,Medium,401.9,338
18,April,Central,Frozen Fish,Frozen Foods,Medium,High,Medium,Yes,Vesak,Yes,Yes,Medium,Medium,483.02,377
30,July,Eastern,Maggi Noodles,Instant Foods,High,Low,Medium,Yes,None,No,Yes,Low,Low,336.23,898
11,March,Northern,Wheat Flour,Cooking Essentials,High,Medium,Low,No,Eid,Yes,Yes,Low,Low,311.94,397
20,May,North Western,Canned Fish,Canned Goods,High,Low,Low,Yes,Poya,Yes,Yes,Medium,Medium,486.64,639
17,April,Northern,Ice Cream,Frozen Foods,High,Low,Low,No,None,No,No,Low,Low,615.65,551
35,August,Southern,Coconut Oil,Cooking Essentials,Medium,Low,Medium,No,None,No,Yes,Medium,Medium,430.19,497
47,November,Northern,Rice Flour,Cooking Essentials,Low,Medium,Low,No,None,No,Yes,Low,Low,224.62,212
47,November,Northern,Kotmale Yoghurt,Dairy,Low,Medium,Low,No,None,No,Yes,Low,Low,195.53,133
14,April,Sabaragamuwa,Ice Cream,Frozen Foods,Medium,Medium,Low,Yes,Sinhala_Tamil_New_Year,Yes,No,Low,Low,698.61,576
30,July,Northern,Milo,Dairy,High,Low,Low,Yes,None,No,Yes,Low,Low,416.48,349
44,October,Southern,Dhal,Staples,Low,Medium,Medium,Yes,Deepavali,Yes,Yes,Medium,Medium,696.26,2904
51,December,Eastern,Arrack,Alcohol,Low,Medium,Medium,No,Christmas,Yes,No,Low,Low,408.02,199
15,April,Uva,Milo,Dairy,Medium,High,Low,No,Sinhala_Tamil_New_Year,Yes,No,Low,Low,247.71,196
20,May,Sabaragamuwa,Candles,Household,Medium,Medium,Medium,Yes,Poya,Yes,Yes,Low,Low,1094.59,918
38,September,Uva,Ice Cream,Frozen Foods,Medium,Low,Low,Yes,None,No,Yes,Low,Low,535.65,418
4,January,Southern,Necto,Beverages,Low,High,High,Yes,Poya,Yes,Yes,Medium,Medium,595.5,882
28,July,Eastern,Coca-Cola,Beverages,High,Low,High,Yes,Poya,Yes,Yes,Low,Low,865.18,1939
15,April,North Western,Tea Leaves,Beverages,High,Medium,Low,No,Sinhala_Tamil_New_Year,Yes,No,Medium,Medium,924.58,1634
26,June,North Central,Prima Noodles,Instant Foods,High,Low,Low,Yes,None,No,Yes,Low,Low,433.27,1126
41,October,North Central,Rice,Staples,Medium,Low,Low,No,None,No,Yes,Low,Low,238.3,910
20,May,Sabaragamuwa,Ritzbury Chocolate,Snacks,High,Medium,Medium,Yes,Poya,Yes,Yes,Low,Low,490.78,858
42,October,North Central,Tea Leaves,Beverages,Low,Low,Low,Yes,None,No,Yes,Low,Low,293.85,551
15,April,Western,Anchor Milk Powder,Dairy,High,Medium,High,No,Sinhala_Tamil_New_Year,Yes,No,High,High,546.11,519
33,August,Uva,Munchee Biscuits,Snacks,Medium,Low,Medium,No,None,No,Yes,Low,Low,388.32,651
42,October,Southern,Lantern Materials,Household,Low,Low,High,Yes,None,No,Yes,Medium,Medium,415.84,395
29,July,Eastern,Rice Flour,Cooking Essentials,High,Low,High,No,None,No,Yes,Low,Low,259.24,372
11,March,Eastern,Elephant Ginger Beer,Beverages,High,Medium,Low,No,Eid,Yes,Yes,Low,Low,633.19,1111
19,May,North Western,Lantern Materials,Household,High,Medium,Medium,No,Vesak,Yes,Yes,Medium,Medium,865.49,1055
42,October,Sabaragamuwa,Milo,Dairy,Low,Low,Low,Yes,None,No,Yes,Low,Low,417.07,431
27,July,Southern,Munchee Biscuits,Snacks,High,Low,Medium,No,None,No,Yes,Medium,Medium,440.72,763
47,November,Southern,MD Crackers,Snacks,Low,Medium,High,No,None,No,Yes,Medium,Medium,553.76,1097
33,August,Sabaragamuwa,Ice Cream,Frozen Foods,Medium,Low,Low,No,None,No,Yes,Low,Low,615.68,346
8,February,Northern,Red Rice,Staples,Medium,Low,Low,Yes,Poya,Yes,Yes,Low,Low,406.02,2024
28,July,Southern,Rice Flour,Cooking Essentials,High,Low,High,Yes,Poya,Yes,Yes,Medium,Medium,389.73,447
32,August,Northern,Maggi Noodles,Instant Foods,High,Low,Low,Yes,Poya,Yes,Yes,Low,Low,423.07,809
28,July,Uva,Arrack,Alcohol,Medium,Low,Low,Yes,Poya,Yes,Yes,Low,Low,610.9,429
39,September,North Western,Munchee Biscuits,Snacks,Low,Low,Low,No,None,No,Yes,Medium,Medium,694.7,1276
45,November,Eastern,Rice,Staples,Low,Low,High,No,None,No,Yes,Low,Low,129.98,524
23,June,Southern,MD Crackers,Snacks,High,Low,High,No,None,No,Yes,Medium,Medium,322.85,662
41,October,Southern,Ritzbury Chocolate,Snacks,Low,Low,High,No,None,No,Yes,Medium,Medium,382.6,1038
13,March,Central,Ice Cream,Frozen Foods,Low,High,Medium,No,None,No,No,Medium,Medium,591.57,444
14,April,North Central,Lantern Materials,Household,High,Medium,Medium,Yes,Sinhala_Tamil_New_Year,Yes,No,Low,Low,237.55,260
5,January,North Central,Kotmale Yoghurt,Dairy,Medium,Medium,Medium,No,None,No,Yes,Low,Low,375.21,269
11,March,Uva,Red Rice,Staples,Medium,High,Low,No,Eid,Yes,Yes,Low,Low,448.17,2120
16,April,North Western,Washing Powder,Household,High,Medium,Medium,Yes,Poya,Yes,No,Medium,Medium,540.27,615
44,October,Sabaragamuwa,Red Rice,Staples,Low,Medium,Low,Yes,Deepavali,Yes,Yes,Low,Low,378.36,1415
39,September,Southern,MD Crackers,Snacks,Low,Low,High,No,None,No,Yes,Medium,Medium,524.33,1375
18,April,Uva,Milo,Dairy,High,Low,Low,Yes,Vesak,Yes,Yes,Low,Low,295.02,235
20,May,North Central,Elephant Ginger Beer,Beverages,High,Low,Low,Yes,Poya,Yes,Yes,Low,Low,499.08,975
43,October,Central,Kotmale Yoghurt,Dairy,Low,Medium,Medium,No,Deepavali,Yes,Yes,Medium,Medium,352.04,250
29,July,North Central,Milo,Dairy,High,Low,Low,No,None,No,Yes,Low,Low,240.35,192
17,April,North Western,Sugar,Sweeteners,High,Medium,Low,No,None,No,No,Medium,Medium,599.71,798
48,November,Central,Rice Flour,Cooking Essentials,Low,High,Medium,Yes,Poya,Yes,Yes,Medium,Medium,568.43,671
28,July,North Western,Milo,Dairy,High,Low,Low,Yes,Poya,Yes,Yes,Medium,Medium,693.13,738
9,February,Southern,Kotmale Yoghurt,Dairy,High,Medium,High,No,None,No,Yes,Medium,Medium,302.36,304
15,April,Northern,Tea Leaves,Beverages,High,Medium,Low,No,Sinhala_Tamil_New_Year,Yes,No,Low,Low,546.45,1006
15,April,North Western,Tea Leaves,Beverages,High,Medium,Low,No,Sinhala_Tamil_New_Year,Yes,No,Medium,Medium,675.56,1091
5,January,Southern,Jaggery,Sweeteners,Medium,High,High,No,None,No,Yes,Medium,Medium,443.48,571
4,January,Central,Pepsi,Beverages,Low,High,Medium,Yes,Poya,Yes,Yes,Medium,Medium,618.76,1275
20,May,Central,Kotmale Yoghurt,Dairy,High,Medium,Medium,Yes,Poya,Yes,Yes,Medium,Medium,412.14,440
19,May,Western,Coca-Cola,Beverages,High,Low,Medium,No,Vesak,Yes,Yes,High,High,1063.52,2088
1,January,Southern,Maggi Noodles,Instant Foods,Low,High,High,No,None,No,Yes,Medium,Medium,631.65,1830
42,October,Eastern,Dhal,Staples,Low,Medium,Medium,Yes,None,No,Yes,Low,Low,275.79,1270
33,August,North Central,Elephant Ginger Beer,Beverages,High,Low,Low,No,None,No,Yes,Low,Low,494.77,1012
16,April,Southern,Coca-Cola,Beverages,High,Medium,High,Yes,Poya,Yes,No,Medium,Medium,966.63,1515
27,July,North Central,Coca-Cola,Beverages,High,Low,Low,No,None,No,Yes,Low,Low,441.24,744
26,June,North Western,Maggi Noodles,Instant Foods,High,Low,Medium,Yes,None,No,Yes,Medium,Medium,510.48,1103
18,April,Western,Tea Leaves,Beverages,High,Medium,High,Yes,Vesak,Yes,Yes,High,High,1375.85,3067
7,February,Southern,Arrack,Alcohol,Low,High,High,No,None,No,Yes,Medium,Medium,560.57,402
30,July,Southern,Ritzbury Chocolate,Snacks,High,Low,Medium,Yes,None,No,Yes,Medium,Medium,443.68,850
36,September,Western,Ritzbury Chocolate,Snacks,Medium,Low,High,Yes,Poya,Yes,No,High,High,814.34,1972
36,September,Sabaragamuwa,Rice,Staples,Low,Low,Low,Yes,Poya,Yes,No,Low,Low,417.04,1779
15,April,Northern,Canned Fish,Canned Goods,High,Low,Low,No,Sinhala_Tamil_New_Year,Yes,No,Low,Low,354.49,417
12,March,North Western,Pepsi,Beverages,High,High,Medium,Yes,Poya,Yes,No,Medium,Medium,906.27,1286
20,May,Central,Milo,Dairy,Medium,Low,Medium,Yes,Poya,Yes,Yes,Medium,Medium,519.33,543
21,May,Central,Jaggery,Sweeteners,Medium,Medium,Medium,No,None,No,Yes,Medium,Medium,420.9,827
10,March,North Central,Necto,Beverages,High,Low,Low,Yes,Eid,Yes,Yes,Low,Low,698.17,1181
2,January,Northern,Maggi Noodles,Instant Foods,Low,High,Low,Yes,None,No,Yes,Low,Low,416.11,1266
43,October,Eastern,Jaggery,Sweeteners,Low,Medium,Medium,No,Deepavali,Yes,Yes,Low,Low,603.14,1053
11,March,Western,Pepsi,Beverages,High,Medium,High,No,Eid,Yes,Yes,High,High,1545.13,2189
30,July,North Western,Wheat Flour,Cooking Essentials,High,Low,Low,Yes,None,No,Yes,Medium,Medium,452.91,620
5,January,Northern,Washing Powder,Household,Medium,Medium,Medium,No,None,No,Yes,Low,Low,174.17,183
19,May,Northern,Elephant Ginger Beer,Beverages,High,Low,Medium,No,Vesak,Yes,Yes,Low,Low,713.98,1651
46,November,Southern,Dhal,Staples,Low,Medium,High,Yes,None,No,Yes,Medium,Medium,742.09,3280
52,December,North Western,Candles,Household,Low,High,Low,Yes,Christmas,Yes,No,Medium,Medium,793.11,997
50,December,Northern,Washing Powder,Household,Low,Medium,Medium,Yes,None,No,No,Low,Low,326.24,347
30,July,Uva,Arrack,Alcohol,Medium,Low,Low,Yes,None,No,Yes,Low,Low,226.74,125
10,March,Central,Dhal,Staples,Medium,High,Medium,Yes,Eid,Yes,Yes,Medium,Medium,679.89,3297
11,March,Western,Sugar,Sweeteners,Medium,Medium,High,No,Eid,Yes,Yes,High,High,726.85,906
41,October,Eastern,Munchee Biscuits,Snacks,Low,Low,Medium,No,None,No,Yes,Low,Low,363.54,908
15,April,Northern,Arrack,Alcohol,High,High,Medium,No,Sinhala_Tamil_New_Year,Yes,No,Low,Low,528.51,356
20,May,Central,Tea Leaves,Beverages,Medium,High,High,Yes,Poya,Yes,Yes,Medium,Medium,861.23,1580
42,October,North Western,Coconut Oil,Cooking Essentials,Low,Low,Low,Yes,None,No,Yes,Medium,Medium,631.4,830
18,April,Southern,MD Crackers,Snacks,High,Low,High,Yes,Vesak,Yes,Yes,Medium,Medium,943.14,2203
32,August,Central,Rice,Staples,Medium,Low,High,Yes,Poya,Yes,Yes,Medium,Medium,868.53,3009
35,August,Eastern,Sunflower Oil,Cooking Essentials,Medium,Low,Medium,No,None,No,Yes,Low,Low,348.14,449
10,March,Central,Wheat Flour,Cooking Essentials,Medium,High,Medium,Yes,Eid,Yes,Yes,Medium,Medium,276.05,267
29,July,Southern,Maggi Noodles,Instant Foods,High,Low,High,No,None,No,Yes,Medium,Medium,445.91,910
46,November,Sabaragamuwa,Frozen Fish,Frozen Foods,Low,Medium,Low,Yes,None,No,Yes,Low,Low,365.09,239
31,July,Sabaragamuwa,Anchor Milk Powder,Dairy,High,Low,Low,No,None,No,Yes,Low,Low,254.36,222
48,November,Uva,Kotmale Yoghurt,Dairy,Low,High,Low,Yes,Poya,Yes,Yes,Low,Low,291.26,210
2,January,Southern,Munchee Biscuits,Snacks,Low,High,High,Yes,None,No,Yes,Medium,Medium,568.91,1623
48,November,North Western,Kotmale Yoghurt,Dairy,Low,High,Low,Yes,Poya,Yes,Yes,Medium,Medium,485.62,403
9,February,Western,Arrack,Alcohol,Medium,Medium,High,No,None,No,Yes,High,High,764.87,452
41,October,Uva,Ice Cream,Frozen Foods,Low,Medium,Medium,No,None,No,Yes,Low,Low,249.44,172
46,November,Southern,Pepsi,Beverages,Low,Medium,High,Yes,None,No,Yes,Medium,Medium,778.8,1270
51,December,Western,Candles,Household,Low,Medium,High,No,Christmas,Yes,No,High,High,1083.5,1095
7,February,Sabaragamuwa,Milo,Dairy,Medium,High,Medium,No,None,No,Yes,Low,Low,417.64,415
47,November,Southern,Canned Fish,Canned Goods,Low,Low,High,No,None,No,Yes,Medium,Medium,346.91,353
48,November,Sabaragamuwa,Arrack,Alcohol,Low,High,Medium,Yes,Poya,Yes,Yes,Low,Low,553.76,380
10,March,Sabaragamuwa,Ice Cream,Frozen Foods,Medium,High,Medium,Yes,Eid,Yes,Yes,Low,Low,662.11,429
6,February,Central,Sunflower Oil,Cooking Essentials,Low,High,Medium,Yes,None,No,Yes,Medium,Medium,232.47,309
46,November,Eastern,Rice Flour,Cooking Essentials,Low,Medium,Low,Yes,None,No,Yes,Low,Low,197.23,270
6,February,North Central,Arrack,Alcohol,Medium,Medium,Low,Yes,None,No,Yes,Low,Low,381.22,241
16,April,Central,Lion Beer,Alcohol,Medium,Medium,Low,Yes,Poya,Yes,No,Medium,Medium,791.23,536
30,July,Sabaragamuwa,Milo,Dairy,High,Low,Low,Yes,None,No,Yes,Low,Low,325.89,237
14,April,Sabaragamuwa,Dhal,Staples,High,Medium,Low,Yes,Sinhala_Tamil_New_Year,Yes,No,Low,Low,445.03,1572
48,November,Uva,Dhal,Staples,Low,High,Medium,Yes,Poya,Yes,Yes,Low,Low,371.85,1664
13,March,Northern,Frozen Fish,Frozen Foods,High,Medium,Low,No,None,No,No,Low,Low,640.53,580
45,November,Northern,Wheat Flour,Cooking Essentials,Low,Low,Medium,No,None,No,Yes,Low,Low,161.89,185
6,February,North Western,Rice Flour,Cooking Essentials,Medium,High,Low,Yes,None,No,Yes,Medium,Medium,343.24,374
18,April,Eastern,Rice Flour,Cooking Essentials,High,Low,Medium,Yes,Vesak,Yes,Yes,Low,Low,778.98,1032
11,March,Uva,Rice,Staples,Medium,High,Medium,No,Eid,Yes,Yes,Low,Low,409.55,1419
11,March,Central,Rice Flour,Cooking Essentials,Medium,High,Medium,No,Eid,Yes,Yes,Medium,Medium,346.83,541
17,April,North Central,Ritzbury Chocolate,Snacks,High,Medium,Low,No,None,No,No,Low,Low,186.39,351
38,September,North Western,Coca-Cola,Beverages,Medium,Low,Low,Yes,None,No,Yes,Medium,Medium,526.18,748
30,July,Sabaragamuwa,Wheat Flour,Cooking Essentials,High,Low,Low,Yes,None,No,Yes,Low,Low,184.24,191
8,February,North Central,Red Rice,Staples,High,High,Low,Yes,Poya,Yes,Yes,Low,Low,457.44,2078
41,October,Sabaragamuwa,Lion Beer,Alcohol,Low,Medium,Medium,No,None,No,Yes,Low,Low,252.32,118
16,April,North Central,Lantern Materials,Household,High,Medium,Low,Yes,Poya,Yes,No,Low,Low,398.51,411
8,February,Western,Munchee Biscuits,Snacks,Medium,Medium,High,Yes,Poya,Yes,Yes,High,High,1282.34,3246
42,October,Western,Sunflower Oil,Cooking Essentials,Low,Low,High,Yes,None,No,Yes,High,High,878.71,1126
25,June,Northern,Rice Flour,Cooking Essentials,High,Low,Low,No,None,No,Yes,Low,Low,319.44,399
21,May,Uva,Ice Cream,Frozen Foods,Medium,Medium,Low,No,None,No,Yes,Low,Low,507.24,311
7,February,Central,Ice Cream,Frozen Foods,Medium,High,Low,No,None,No,Yes,Medium,Medium,583.5,399
28,July,Central,Dhal,Staples,High,Low,Low,Yes,Poya,Yes,Yes,Medium,Medium,415.46,1294
29,July,North Central,Sugar,Sweeteners,High,Low,Low,No,None,No,Yes,Low,Low,183.49,221
26,June,Southern,Frozen Fish,Frozen Foods,High,Low,High,Yes,None,No,Yes,Medium,Medium,713.43,491
20,May,Southern,Canned Fish,Canned Goods,High,Low,High,Yes,Poya,Yes,Yes,Medium,Medium,391.21,643
28,July,Northern,Ice Cream,Frozen Foods,High,Low,Low,Yes,Poya,Yes,Yes,Low,Low,661.66,393
41,October,Southern,Lantern Materials,Household,Low,Low,High,No,None,No,Yes,Medium,Medium,302.82,301
9,February,Southern,Elephant Ginger Beer,Beverages,Medium,Medium,High,No,None,No,Yes,Medium,Medium,867.2,1412
19,May,North Central,Coconut Oil,Cooking Essentials,High,Medium,Low,No,Vesak,Yes,Yes,Low,Low,661.1,768
42,October,Northern,Canned Fish,Canned Goods,Low,Low,Medium,Yes,None,No,Yes,Low,Low,324.98,417
38,September,Southern,Candles,Household,Medium,Low,High,Yes,None,No,Yes,Medium,Medium,537.52,743
43,October,Uva,Prima Noodles,Instant Foods,Low,Low,Low,No,Deepavali,Yes,Yes,Low,Low,286.02,842
22,May,North Western,Lion Beer,Alcohol,High,Medium,Low,Yes,None,No,Yes,Medium,Medium,384.82,189
48,November,Northern,Elephant Ginger Beer,Beverages,Low,Low,Medium,Yes,Poya,Yes,Yes,Low,Low,442.99,1003
7,February,Sabaragamuwa,MD Crackers,Snacks,Medium,High,Low,No,None,No,Yes,Low,Low,368.93,867
33,August,Sabaragamuwa,Lion Beer,Alcohol,Medium,Low,Low,No,None,No,Yes,Low,Low,260.41,191
39,September,Eastern,Ritzbury Chocolate,Snacks,Medium,Low,Medium,No,None,No,Yes,Low,Low,267.54,459
32,August,Western,Necto,Beverages,Medium,Low,High,Yes,Poya,Yes,Yes,High,High,1124.8,2053
49,December,Western,Arrack,Alcohol,Low,Medium,High,No,None,No,No,High,High,884.39,497
45,November,Eastern,Candles,Household,Low,Medium,High,No,None,No,Yes,Low,Low,320.21,438
28,July,North Central,Ice Cream,Frozen Foods,High,Low,Low,Yes,Poya,Yes,Yes,Low,Low,1064.48,882
15,April,Uva,Anchor Milk Powder,Dairy,High,Medium,Low,No,Sinhala_Tamil_New_Year,Yes,No,Low,Low,436.26,401
15,April,Northern,Tea Leaves,Beverages,High,High,Low,No,Sinhala_Tamil_New_Year,Yes,No,Low,Low,524.73,1059
41,October,North Central,Pepsi,Beverages,Low,Low,Low,No,None,No,Yes,Low,Low,219.73,500
4,January,Southern,Kotmale Yoghurt,Dairy,Medium,High,High,Yes,Poya,Yes,Yes,Medium,Medium,513.1,587
44,October,Northern,Candles,Household,Low,Medium,Medium,Yes,Deepavali,Yes,Yes,Low,Low,220.62,301
51,December,Northern,MD Crackers,Snacks,Low,Medium,Medium,No,Christmas,Yes,No,Low,Low,461.31,929
8,February,Northern,Rice,Staples,High,Medium,Low,Yes,Poya,Yes,Yes,Low,Low,258.23,1163
45,November,Sabaragamuwa,Dhal,Staples,Low,High,Low,No,None,No,Yes,Low,Low,248.64,1043
25,June,Northern,Arrack,Alcohol,High,Medium,Low,No,None,No,Yes,Low,Low,325.48,224
15,April,Western,Sugar,Sweeteners,High,Low,Medium,No,Sinhala_Tamil_New_Year,Yes,No,High,High,645.44,1074
18,April,Uva,Milo,Dairy,High,High,Low,Yes,Vesak,Yes,Yes,Low,Low,315.01,310
23,June,Western,Milo,Dairy,High,Low,High,No,None,No,Yes,High,High,642.49,466
2,January,Central,Munchee Biscuits,Snacks,Low,High,High,Yes,None,No,Yes,Medium,Medium,590.69,1205
38,September,Uva,Lion Beer,Alcohol,Low,Low,Low,Yes,None,No,Yes,Low,Low,423.6,214
47,November,Southern,Arrack,Alcohol,Low,Medium,High,No,None,No,Yes,Medium,Medium,595.87,322
7,February,North Central,Arrack,Alcohol,Medium,Medium,Low,No,None,No,Yes,Low,Low,253.14,151
41,October,Sabaragamuwa,Dhal,Staples,Low,Low,Low,No,None,No,Yes,Low,Low,254.15,867
32,August,Northern,MD Crackers,Snacks,High,Low,Low,Yes,Poya,Yes,Yes,Low,Low,582.2,1206
8,February,Uva,Rice,Staples,Low,High,Medium,Yes,Poya,Yes,Yes,Low,Low,415.17,1944
14,April,North Western,Frozen Fish,Frozen Foods,High,High,Medium,Yes,Sinhala_Tamil_New_Year,Yes,No,Medium,Medium,715.95,543
24,June,Northern,Ice Cream,Frozen Foods,High,Low,Medium,Yes,Poya,Yes,Yes,Low,Low,910.99,796
1,January,Western,Red Rice,Staples,Low,High,High,No,None,No,Yes,High,High,687.58,3551
13,March,Northern,Tea Leaves,Beverages,High,Low,Low,No,None,No,No,Low,Low,630.07,1084
49,December,Uva,Maggi Noodles,Instant Foods,Low,Medium,Medium,No,None,No,No,Low,Low,258.82,550
5,January,Uva,Ice Cream,Frozen Foods,Low,High,Medium,No,None,No,Yes,Low,Low,246.61,167
38,September,Southern,Prima Noodles,Instant Foods,Medium,Low,High,Yes,None,No,Yes,Medium,Medium,574.69,1741
8,February,Southern,Sugar,Sweeteners,Medium,High,High,Yes,Poya,Yes,Yes,Medium,Medium,500.87,1023
47,November,Southern,Frozen Fish,Frozen Foods,Low,Medium,High,No,None,No,Yes,Medium,Medium,381.23,317
27,July,Northern,Kotmale Yoghurt,Dairy,High,Low,Low,No,None,No,Yes,Low,Low,284.94,206
26,June,Northern,Milo,Dairy,High,Low,Low,Yes,None,No,Yes,Low,Low,375.64,434
27,July,Uva,Lion Beer,Alcohol,Medium,Low,Medium,No,None,No,Yes,Low,Low,382.75,204
52,December,Eastern,Milo,Dairy,Low,High,High,Yes,Christmas,Yes,No,Low,Low,339.4,335
42,October,Eastern,Kotmale Yoghurt,Dairy,Low,Medium,Medium,Yes,None,No,Yes,Low,Low,416.53,437
32,August,North Central,Dhal,Staples,High,Low,Low,Yes,Poya,Yes,Yes,Low,Low,224.82,864
33,August,Northern,Prima Noodles,Instant Foods,High,Low,Low,No,None,No,Yes,Low,Low,372.81,1087
49,December,Central,Pepsi,Beverages,Low,High,Medium,No,None,No,No,Medium,Medium,395.11,832
5,January,Western,Ice Cream,Frozen Foods,Medium,Medium,High,No,None,No,Yes,High,High,1097.37,824
34,August,North Central,Pepsi,Beverages,High,Low,Low,Yes,None,No,Yes,Low,Low,662.94,1243
8,February,Western,Sugar,Sweeteners,Medium,Medium,High,Yes,Poya,Yes,Yes,High,High,1064.17,1636
39,September,Sabaragamuwa,Pepsi,Beverages,Low,Low,Medium,No,None,No,Yes,Low,Low,408.41,952
11,March,North Western,Prima Noodles,Instant Foods,Medium,Medium,Medium,No,Eid,Yes,Yes,Medium,Medium,805.65,2329
7,February,North Western,Rice Flour,Cooking Essentials,Medium,High,Low,No,None,No,Yes,Medium,Medium,284.24,341
22,May,Central,Prima Noodles,Instant Foods,Medium,Low,Medium,Yes,None,No,Yes,Medium,Medium,483.19,1399
11,March,Northern,Ice Cream,Frozen Foods,High,Medium,Low,No,Eid,Yes,Yes,Low,Low,762.34,412
37,September,Northern,Coconut Oil,Cooking Essentials,Medium,Low,Low,No,None,No,No,Low,Low,240.63,260
45,November,Southern,Coca-Cola,Beverages,Low,Medium,High,No,None,No,Yes,Medium,Medium,621.18,1382
25,June,Sabaragamuwa,Elephant Ginger Beer,Beverages,High,Low,Low,No,None,No,Yes,Low,Low,659.87,1199
7,February,North Western,Rice Flour,Cooking Essentials,High,High,Medium,No,None,No,Yes,Medium,Medium,281.46,390
22,May,Western,Coconut Oil,Cooking Essentials,High,Low,High,Yes,None,No,Yes,High,High,769.11,789
27,July,Sabaragamuwa,Arrack,Alcohol,High,Low,Low,No,None,No,Yes,Low,Low,323.58,239
47,November,North Central,Maggi Noodles,Instant Foods,Low,Medium,Medium,No,None,No,Yes,Low,Low,379.5,913
49,December,Central,Sugar,Sweeteners,Low,High,High,No,None,No,No,Medium,Medium,404.57,675
35,August,Central,Frozen Fish,Frozen Foods,Medium,Low,Medium,No,None,No,Yes,Medium,Medium,703.65,393
24,June,North Central,Canned Fish,Canned Goods,High,Low,Low,Yes,Poya,Yes,Yes,Low,Low,269.27,389
